Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000007931	ENSVPAG00000007931.1	ENSVPAT00000007931.1
ENSVPAG00000007931	ENSVPAG00000007931.1	ENSVPAT00000007931.1
ENSVPAG00000007931	ENSVPAG00000007931.1	ENSVPAT00000007931.1
ENSVPAG00000002500	ENSVPAG00000002500.1	ENSVPAT00000002500.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000009648	ENSVPAG00000009648.1	ENSVPAT00000009648.1
ENSVPAG00000002573	ENSVPAG00000002573.1	ENSVPAT00000002576.1
ENSVPAG00000012145	ENSVPAG00000012145.1	ENSVPAT00000012145.1
ENSVPAG00000003599	ENSVPAG00000003599.1	ENSVPAT00000003599.1
ENSVPAG00000003599	ENSVPAG00000003599.1	ENSVPAT00000003599.1
ENSVPAG00000003602	ENSVPAG00000003602.1	ENSVPAT00000003602.1
ENSVPAG00000003604	ENSVPAG00000003604.1	ENSVPAT00000003603.1
ENSVPAG00000003604	ENSVPAG00000003604.1	ENSVPAT00000003603.1
ENSVPAG00000006574	ENSVPAG00000006574.1	ENSVPAT00000006575.1
ENSVPAG00000006574	ENSVPAG00000006574.1	ENSVPAT00000006575.1
ENSVPAG00000001661	ENSVPAG00000001661.1	ENSVPAT00000001660.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007710	ENSVPAG00000007710.1	ENSVPAT00000007710.1
ENSVPAG00000007712	ENSVPAG00000007712.1	ENSVPAT00000007712.1
ENSVPAG00000000018	ENSVPAG00000000018.1	ENSVPAT00000000018.1
ENSVPAG00000000951	ENSVPAG00000000951.1	ENSVPAT00000000951.1
ENSVPAG00000010276	ENSVPAG00000010276.1	ENSVPAT00000010275.1
ENSVPAG00000010276	ENSVPAG00000010276.1	ENSVPAT00000010275.1
ENSVPAG00000010276	ENSVPAG00000010276.1	ENSVPAT00000010275.1
ENSVPAG00000008729	ENSVPAG00000008729.1	ENSVPAT00000008729.1
ENSVPAG00000008729	ENSVPAG00000008729.1	ENSVPAT00000008729.1
ENSVPAG00000000046	ENSVPAG00000000046.1	ENSVPAT00000000045.1
ENSVPAG00000000046	ENSVPAG00000000046.1	ENSVPAT00000000045.1
ENSVPAG00000000046	ENSVPAG00000000046.1	ENSVPAT00000000045.1
ENSVPAG00000000048	ENSVPAG00000000048.1	ENSVPAT00000000049.1
ENSVPAG00000000048	ENSVPAG00000000048.1	ENSVPAT00000000049.1
ENSVPAG00000005010	ENSVPAG00000005010.1	ENSVPAT00000005008.1
ENSVPAG00000003222	ENSVPAG00000003222.1	ENSVPAT00000003222.1
ENSVPAG00000004375	ENSVPAG00000004375.1	ENSVPAT00000004375.1
ENSVPAG00000004375	ENSVPAG00000004375.1	ENSVPAT00000004375.1
